provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
visits flowers of,,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
has flowers visited by,,has flowers visited by,http://purl.obolibrary.org/obo/RO_0002623
visited by,,visited by,http://purl.obolibrary.org/obo/RO_0002619
pollinated by,,pollinated by,http://purl.obolibrary.org/obo/RO_0002456
has flowers used as nest by,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
